bit_index,mean_value,positive_rate,entropy
265,-0.771644,0.114178,0.5123908501789547
266,-0.762924,0.118538,0.5251437391465936
267,-0.56194,0.21903,0.7583923520724396
268,0.674956,0.837478,0.6403089854012693
269,0.486696,0.743348,0.8216520516312923
270,0.666236,0.833118,0.6505221694209273
271,-0.535512,0.232244,0.7819026357499015
272,0.284856,0.642428,0.9406492919680538
273,0.674956,0.837478,0.6403089854012693
274,0.707188,0.853594,0.6007727531219859
275,-0.666236,0.166882,0.6505221694209273
276,-0.276992,0.361504,0.9439245443200717
277,0.6741,0.83705,0.6413204134127192
278,-0.561084,0.219458,0.7591765912816286
279,0.812596,0.906298,0.4487073642676676
280,0.707188,0.853594,0.6007727531219859
281,0.749344,0.874672,0.5444845466068235
282,-0.771644,0.114178,0.5123908501789547
283,-0.535512,0.232244,0.7819026357499015
284,0.50328,0.75164,0.8086684234193731
285,0.276992,0.638496,0.9439245443200717
286,0.6741,0.83705,0.6413204134127192
287,-0.812596,0.093702,0.44870736426766766
288,-0.812596,0.093702,0.44870736426766766
289,0.707188,0.853594,0.6007727531219859
290,0.464396,0.732198,0.8382929329070363
291,0.561084,0.780542,0.7591765912816288
292,-0.527648,0.236176,0.788623058782228
293,0.4243,0.71215,0.8659277309724589
294,0.951184,0.975592,0.16552152111254104
295,-0.715032,0.142484,0.5907073974528506
296,-0.465252,0.267374,0.8376712020701157
297,0.73276,0.86638,0.5672831199242285
298,0.779508,0.889754,0.5006575228040072
299,-0.49456,0.25272,0.8155608278147763
300,0.983416,0.991708,0.06924451181734537
301,-0.535512,0.232244,0.7819026357499015
302,0.707188,0.853594,0.6007727531219859
303,-0.666236,0.166882,0.6505221694209273
304,-0.527648,0.236176,0.788623058782228
305,-0.55322,0.22339,0.7663094110834687
306,0.666236,0.833118,0.6505221694209273
307,-0.464396,0.267802,0.8382929329070363
308,-0.779508,0.110246,0.5006575228040073
309,-0.771644,0.114178,0.5123908501789547
310,0.666236,0.833118,0.6505221694209273
311,-0.6741,0.16295,0.6413204134127191
312,0.666236,0.833118,0.6505221694209273
313,-0.666236,0.166882,0.6505221694209273
314,-0.6741,0.16295,0.6413204134127191
315,0.771644,0.885822,0.5123908501789547
316,-0.432164,0.283918,0.8607345887144593
317,0.812596,0.906298,0.4487073642676676
318,0.779508,0.889754,0.5006575228040072
319,-0.779508,0.110246,0.5006575228040073
320,-0.771644,0.114178,0.5123908501789547
321,0.464396,0.732198,0.8382929329070363
322,-0.6741,0.16295,0.6413204134127191
323,0.55322,0.77661,0.7663094110834687
324,-0.56194,0.21903,0.7583923520724396
325,0.465252,0.732626,0.8376712020701157
326,-0.68282,0.15859,0.63092569111122
327,0.6741,0.83705,0.6413204134127192
328,0.666236,0.833118,0.6505221694209273
329,-0.55322,0.22339,0.7663094110834687
330,0.803876,0.901938,0.4628220013711464
331,-0.771644,0.114178,0.5123908501789547
332,0.666236,0.833118,0.6505221694209273
333,0.527648,0.763824,0.7886230587822283
334,0.942464,0.971232,0.18817530468498098
335,-0.666236,0.166882,0.6505221694209273
336,0.674956,0.837478,0.6403089854012693
337,-0.771644,0.114178,0.5123908501789547
338,-0.284856,0.357572,0.9406492919680538
339,0.6741,0.83705,0.6413204134127192
340,0.6741,0.83705,0.6413204134127192
341,0.779508,0.889754,0.5006575228040072
342,0.707188,0.853594,0.6007727531219859
343,0.6741,0.83705,0.6413204134127192
344,0.527648,0.763824,0.7886230587822283
345,-0.6741,0.16295,0.6413204134127191
346,0.68282,0.84141,0.63092569111122
347,-0.666236,0.166882,0.6505221694209273
348,0.771644,0.885822,0.5123908501789547
349,-0.951184,0.024408,0.1655215211125411
350,-0.464396,0.267802,0.8382929329070363
351,-0.561084,0.219458,0.7591765912816286
352,0.536368,0.768184,0.7811635915470337
353,0.812596,0.906298,0.4487073642676676
354,0.666236,0.833118,0.6505221694209273
355,0.423444,0.711722,0.8664864243209798
356,0.520988,0.760494,0.794217809108885
357,-0.666236,0.166882,0.6505221694209273
358,0.749344,0.874672,0.5444845466068235
359,0.495416,0.747708,0.8148906891761454
360,0.535512,0.767756,0.7819026357499015
361,0.50328,0.75164,0.8086684234193731
362,0.803876,0.901938,0.4628220013711464
363,-0.771644,0.114178,0.5123908501789547
364,0.666236,0.833118,0.6505221694209273
365,-0.771644,0.114178,0.5123908501789547
366,0.771644,0.885822,0.5123908501789547
367,0.812596,0.906298,0.4487073642676676
368,0.284856,0.642428,0.9406492919680538
369,-0.456532,0.271734,0.8439418277080188
370,-0.771644,0.114178,0.5123908501789547
371,0.779508,0.889754,0.5006575228040072
372,0.68282,0.84141,0.63092569111122
373,-0.536368,0.231816,0.7811635915470336
374,0.536368,0.768184,0.7811635915470337
375,0.464396,0.732198,0.8382929329070363
376,0.81174,0.90587,0.4501070112245288
377,0.495416,0.747708,0.8148906891761454
378,0.803876,0.901938,0.4628220013711464
379,-0.527648,0.236176,0.788623058782228
380,0.68282,0.84141,0.63092569111122
381,-0.674956,0.162522,0.6403089854012692
382,0.74148,0.87074,0.5554052340042999
383,0.50328,0.75164,0.8086684234193731
384,0.749344,0.874672,0.5444845466068235
385,-0.707188,0.146406,0.6007727531219859
386,0.520132,0.760066,0.7949305064627987
387,-0.771644,0.114178,0.5123908501789547
388,0.6741,0.83705,0.6413204134127192
389,0.456532,0.728266,0.8439418277080191
390,-0.803876,0.098062,0.4628220013711464
391,0.527648,0.763824,0.7886230587822283
392,-0.707188,0.146406,0.6007727531219859
393,-0.495416,0.252292,0.8148906891761454
394,-0.6741,0.16295,0.6413204134127191
395,0.803876,0.901938,0.4628220013711464
396,-0.6741,0.16295,0.6413204134127191
397,-0.486696,0.256652,0.8216520516312923
398,-0.49456,0.25272,0.8155608278147763
399,-0.527648,0.236176,0.788623058782228
400,-0.535512,0.232244,0.7819026357499015
401,-0.423444,0.288278,0.8664864243209797
402,-0.803876,0.098062,0.4628220013711464
403,-0.771644,0.114178,0.5123908501789547
404,-0.56194,0.21903,0.7583923520724396
405,-0.73276,0.13362,0.5672831199242286
406,-0.771644,0.114178,0.5123908501789547
407,-0.707188,0.146406,0.6007727531219859
